key,context,en,no,sv,da,de,nl,fr,es,es-MX,pt,pt-BR,it,el,fi,pl,cs,sk,hu,ro,hr,sl,bg,uk,tr,is,et,lv,lt,ga,ca,zh,zh-TW,ja,ko,hi,th,vi,id,ms,tl,bn,ar,he,fa
Constructing,Overlay shown on a building still under construction (UPPERCASE).,BUILDING,BYGGES,BYGGER,BYGGER,IM BAU,IN AANBOUW,CONSTRUCTION,CONSTRUYENDO,CONSTRUYENDO,A CONSTRUIR,CONSTRUINDO,COSTRUZIONE,ΑΝΕΓΕΡΣΗ,RAKENNETAAN,BUDOWA,STAVBA,STAVBA,ÉPÜL,ÎN CONSTRUCȚIE,GRADNJA,GRADNJA,СТРОЕЖ,БУДІВНИЦТВО,İNŞA EDİLİYOR,Í BYGGINGU,EHITAMINE,BŪVĒ,STATOMA,Á THÓGÁIL,CONSTRUINT,建造中,建造中,建設中,건설 중,निर्माणाधीन,กำลังสร้าง,ĐANG XÂY,MEMBANGUN,MEMBINA,GINAGAWA,নির্মাণাধীন,قيد البناء,בבנייה,در حال ساخت
BuildHeader,Sidebar title above build buttons (UPPERCASE): BUILD.,BUILD,BYGG,BYGG,BYG,BAUEN,BOUWEN,CONSTRUIRE,CONSTRUIR,CONSTRUIR,CONSTRUIR,CONSTRUIR,COSTRUISCI,ΚΑΤΑΣΚΕΥΗ,RAKENNA,BUDUJ,STAVĚT,STAVAŤ,ÉPÍTÉS,CONSTRUIEȘTE,GRADI,GRADI,СТРОЙ,БУДУВАТИ,İNŞA ET,BYGGJA,EHITA,BŪVĒT,STATYTI,TÓG,CONSTRUIR,建造,建造,建設,건설,निर्माण,สร้าง,XÂY DỰNG,BANGUN,BINA,GUMAWA,নির্মাণ,بناء,בנייה,ساخت
Placing,"Hint while placing a building, e.g. 'place...'.",place...,plasser...,placera...,placér...,platzieren...,plaatsen...,placer...,colocar...,colocar...,colocar...,colocar...,posiziona...,τοποθέτηση...,aseta...,umieść...,umístit...,umiestniť...,lerakás...,plasează...,postavi...,postavi...,поставете...,розмістіть...,yerleştir...,staðsetja...,aseta...,novieto...,padėkite...,cuir...,col·loca...,放置...,放置...,配置...,배치...,रखें...,วาง...,đặt...,pasang...,letak...,ilagay...,রাখুন...,ضع...,הנח...,قرار بده...
ActionMove,Button: move/relocate a building.,Move,Flytt,Flytta,Flyt,Verschieben,Verplaatsen,Déplacer,Mover,Mover,Mover,Mover,Sposta,Μετακίνηση,Siirrä,Przenieś,Přesunout,Presunúť,Mozgat,Mută,Premjesti,Premakni,Премести,Перемістити,Taşı,Færa,Liiguta,Pārvietot,Perkelti,Bog,Mou,移动,移動,移動,이동,स्थानांतरित,ย้าย,Di chuyển,Pindah,Alih,Ilipat,সরান,نقل,הזז,جابجایی
ActionRepair,Button: repair a building.,Repair,Reparer,Reparera,Reparér,Reparieren,Repareren,Réparer,Reparar,Reparar,Reparar,Reparar,Ripara,Επισκευή,Korjaa,Napraw,Opravit,Opraviť,Javít,Repară,Popravi,Popravi,Поправи,Ремонт,Onar,Gera við,Paranda,Labot,Taisyti,Deisigh,Repara,维修,維修,修理,수리,मरम्मत,ซ่อม,Sửa,Perbaiki,Baiki,Ayusin,মেরামত,إصلاح,תקן,تعمیر
ConfirmRemove,Confirmation prompt before removing a building: 'Sure? Tap again'.,Sure? Tap again,Sikker? Trykk igjen,Säker? Tryck igen,Sikker? Tryk igen,Sicher? Erneut tippen,Zeker? Tik nogmaals,Sûr ? Retapez,¿Seguro? Pulsa otra vez,¿Seguro? Toca otra vez,De certeza? Toque outra vez,Tem certeza? Toque de novo,Sicuro? Tocca ancora,Σίγουρα; Πάτα ξανά,Varmasti? Napauta taas,Na pewno? Kliknij znów,Určitě? Klepni znovu,Naozaj? Klepni znova,Biztos? Koppints újra,Sigur? Atinge din nou,Sigurno? Klikni opet,Si prepričan? Klikni znova,Сигурни? Натиснете пак,Точно? Натисніть ще,Emin misin? Tekrar dokun,Viss? Ýttu aftur,Kindel? Vajuta uuesti,Tiešām? Spied vēlreiz,Tikrai? Spauskite vėl,Cinnte? Tapáil arís,Segur? Toca de nou,确定？再点一次,確定？再點一次,本当に？もう一度,확실해요? 다시 탭,पक्का? फिर दबाएँ,แน่ใจ? แตะอีกครั้ง,Chắc chứ? Chạm lại,Yakin? Ketuk lagi,Pasti? Ketik lagi,Sigurado? Pindutin ulit,নিশ্চিত? আবার চাপুন,متأكد؟ انقر ثانية,בטוח? הקש שוב,مطمئنی؟ دوباره بزن
ActionRemove,Button: remove/sell a building.,Remove,Fjern,Ta bort,Fjern,Entfernen,Verwijderen,Retirer,Quitar,Quitar,Remover,Remover,Rimuovi,Αφαίρεση,Poista,Usuń,Odebrat,Odstrániť,Eltávolít,Elimină,Ukloni,Odstrani,Премахни,Видалити,Kaldır,Fjarlægja,Eemalda,Noņemt,Pašalinti,Bain,Elimina,拆除,拆除,撤去,철거,हटाएँ,รื้อ,Gỡ bỏ,Hapus,Buang,Tanggalin,সরিয়ে ফেলুন,إزالة,הסר,حذف
Full,Shown on repair button when building is at full health.,full,full,full,fuld,voll,vol,plein,lleno,lleno,cheio,cheio,pieno,πλήρες,täysi,pełne,plné,plné,tele,plin,puno,polno,пълно,повне,tam,fullt,täis,pilns,pilna,lán,ple,满,滿,満タン,가득,पूर्ण,เต็ม,đầy,penuh,penuh,puno,পূর্ণ,كامل,מלא,کامل
Refund,"Word for money refunded when removing, used as '<refund> +$N'.",refund,refusjon,återbetalning,refusion,Erstattung,teruggave,remboursement,reembolso,reembolso,reembolso,reembolso,rimborso,επιστροφή,hyvitys,zwrot,vráceno,vrátené,visszatérítés,rambursare,povrat,povračilo,връщане,повернення,iade,endurgreiðsla,tagasimakse,atmaksa,grąžinimas,aisíoc,reemborsament,返还,返還,返金,환불,वापसी,คืนเงิน,hoàn tiền,kembali,pulangan,bawi,ফেরত,استرداد,החזר,بازپرداخت
DevHint,Bottom hint: 'D: dev panel  Esc: cancel'. Keep D and Esc as-is.,D: dev panel  Esc: cancel,D: dev-panel  Esc: avbryt,D: dev-panel  Esc: avbryt,D: dev-panel  Esc: annullér,D: Dev-Panel  Esc: Abbrechen,D: dev-paneel  Esc: annuleren,D : panneau dev  Esc : annuler,D: panel dev  Esc: cancelar,D: panel dev  Esc: cancelar,D: painel dev  Esc: cancelar,D: painel dev  Esc: cancelar,D: pannello dev  Esc: annulla,D: πίνακας dev  Esc: ακύρωση,D: dev-paneeli  Esc: peruuta,D: panel dev  Esc: anuluj,D: dev panel  Esc: zrušit,D: dev panel  Esc: zrušiť,D: fejlesztői panel  Esc: mégse,D: panou dev  Esc: anulează,D: dev panel  Esc: odustani,D: dev plošča  Esc: prekliči,D: панел  Esc: отказ,D: панель  Esc: скасувати,D: geliştirici  Esc: iptal,D: þróunarspjald  Esc: hætta við,D: arenduspaneel  Esc: tühista,D: izstr. panelis  Esc: atcelt,D: kūr. skydelis  Esc: atšaukti,D: painéal dev  Esc: cealaigh,D: panell dev  Esc: cancel·la,D：开发面板  Esc：取消,D：開發面板  Esc：取消,D：開発パネル  Esc：キャンセル,D: 개발 패널  Esc: 취소,D: डेव पैनल  Esc: रद्द,D: แผงดีเวล  Esc: ยกเลิก,D: bảng dev  Esc: hủy,D: panel dev  Esc: batal,D: panel dev  Esc: batal,D: dev panel  Esc: kanselahin,D: ডেভ প্যানেল  Esc: বাতিল,D: لوحة المطور  Esc: إلغاء,D: לוח מפתח  Esc: ביטול,D: پنل توسعه  Esc: لغو
PlayAgain,Game over hint: 'Press R to play again'. Keep R as-is.,Press R to play again,Trykk R for å spille igjen,Tryck R för att spela igen,Tryk R for at spille igen,Drücke R für neues Spiel,Druk op R om opnieuw te spelen,Appuyez sur R pour rejouer,Pulsa R para volver a jugar,Presiona R para jugar otra vez,Carregue em R para jogar de novo,Pressione R para jogar de novo,Premi R per rigiocare,Πάτα R για νέο παιχνίδι,Paina R pelataksesi uudelleen,"Naciśnij R, aby zagrać ponownie",Stiskni R pro novou hru,Stlač R pre novú hru,Nyomd meg az R-t az újrajátszáshoz,Apasă R pentru a juca din nou,Pritisni R za novu igru,Pritisni R za novo igro,Натиснете R за нова игра,"Натисніть R, щоб грати знову",Tekrar oynamak için R'ye bas,Ýttu á R til að spila aftur,"Vajuta R, et uuesti mängida","Spied R, lai spēlētu vēlreiz","Spauskite R, kad žaistumėte vėl",Brúigh R chun imirt arís,Prem R per tornar a jugar,按 R 重新开始,按 R 重新開始,R キーでもう一度,R 키로 다시 시작,फिर खेलने के लिए R दबाएँ,กด R เพื่อเล่นอีกครั้ง,Nhấn R để chơi lại,Tekan R untuk main lagi,Tekan R untuk main semula,Pindutin ang R para maglaro ulit,আবার খেলতে R চাপুন,اضغط R للعب مجددًا,לחץ R כדי לשחק שוב,برای بازی دوباره R را بزن
Victory,"Big centered text when you win (UPPERCASE, may keep '!').",VICTORY!,SEIER!,SEGER!,SEJR!,SIEG!,OVERWINNING!,VICTOIRE !,¡VICTORIA!,¡VICTORIA!,VITÓRIA!,VITÓRIA!,VITTORIA!,ΝΙΚΗ!,VOITTO!,ZWYCIĘSTWO!,VÍTĚZSTVÍ!,VÍŤAZSTVO!,GYŐZELEM!,VICTORIE!,POBJEDA!,ZMAGA!,ПОБЕДА!,ПЕРЕМОГА!,ZAFER!,SIGUR!,VÕIT!,UZVARA!,PERGALĖ!,BUA!,VICTÒRIA!,胜利！,勝利！,勝利！,승리!,विजय!,ชัยชนะ!,CHIẾN THẮNG!,MENANG!,MENANG!,PANALO!,বিজয়!,النصر!,ניצחון!,پیروزی!
Defeat,Big centered text when you lose (UPPERCASE).,DEFEAT,NEDERLAG,NEDERLAG,NEDERLAG,NIEDERLAGE,NEDERLAAG,DÉFAITE,DERROTA,DERROTA,DERROTA,DERROTA,SCONFITTA,ΗΤΤΑ,TAPPIO,PORAŻKA,PORÁŽKA,PORÁŽKA,VERESÉG,ÎNFRÂNGERE,PORAZ,PORAZ,ПОРАЖЕНИЕ,ПОРАЗКА,YENİLGİ,ÓSIGUR,KAOTUS,ZAUDĒJUMS,PRALAIMĖJIMAS,BRISEADH,DERROTA,失败,失敗,敗北,패배,हार,พ่ายแพ้,THẤT BẠI,KALAH,KALAH,TALO,পরাজয়,الهزيمة,תבוסה,شکست
HelpBar,Bottom controls help. Keep 'WASD' as-is. Separate items with several spaces.,left-drag: select   tap ground: move   right-click: clear   WASD: camera,venstre-dra: velg   tapp bakken: flytt   høyreklikk: fjern valg   WASD: kamera,vänster-dra: välj   tryck mark: flytta   högerklick: avmarkera   WASD: kamera,venstre-træk: vælg   tryk jord: flyt   højreklik: ryd   WASD: kamera,Links-Ziehen: wählen   Boden tippen: bewegen   Rechtsklick: aufheben   WASD: Kamera,links-slepen: selecteren   tik grond: verplaatsen   rechterklik: wissen   WASD: camera,glisser-gauche : sélection   toucher le sol : déplacer   clic droit : annuler   WASD : caméra,arrastrar izq.: seleccionar   tocar suelo: mover   clic derecho: anular   WASD: cámara,arrastrar izq.: seleccionar   tocar suelo: mover   clic derecho: anular   WASD: cámara,arrastar esq.: selecionar   tocar no chão: mover   clique direito: limpar   WASD: câmara,arrastar esq.: selecionar   tocar no chão: mover   clique direito: limpar   WASD: câmera,trascina sx: seleziona   tocca terreno: muovi   clic destro: deseleziona   WASD: telecamera,αριστερό σύρσιμο: επιλογή   πάτημα εδάφους: μετακίνηση   δεξί κλικ: ακύρωση   WASD: κάμερα,vasen veto: valitse   napauta maata: siirry   oikea klikkaus: tyhjennä   WASD: kamera,lewy-przeciągnij: zaznacz   dotknij ziemi: ruch   prawy-klik: wyczyść   WASD: kamera,levý-tah: výběr   klepni na zem: pohyb   pravý-klik: zrušit   WASD: kamera,ľavý-ťah: výber   klepni na zem: pohyb   pravý-klik: zrušiť   WASD: kamera,bal-húzás: kijelölés   koppints a földre: mozgás   jobb-katt: törlés   WASD: kamera,trage stânga: selectează   atinge solul: mută   clic dreapta: anulează   WASD: cameră,lijevo-povuci: odaberi   dodirni tlo: pomak   desni-klik: poništi   WASD: kamera,levo-povleci: izberi   dotakni se tal: premik   desni-klik: počisti   WASD: kamera,ляв-влачи: избор   докосни: движение   десен бутон: изчисти   WASD: камера,ліва-тягни: вибір   торкніться: рух   права кнопка: зняти   WASD: камера,sol-sürükle: seç   yere dokun: git   sağ-tık: temizle   WASD: kamera,vinstri-draga: velja   ýta á jörð: færa   hægri-smella: hreinsa   WASD: myndavél,vasak-lohista: vali   puuduta maad: liiguta   parem-klõps: tühista   WASD: kaamera,kreisā-velc: izvēlēties   pieskaries zemei: kustēties   labais-klikšķis: notīrīt   WASD: kamera,kairys-tempk: žymėti   bakstelk žemę: judėti   dešinys-spustelk: išvalyti   WASD: kamera,tarraing clé: roghnaigh   tapáil talamh: bog   deaschliceáil: glan   WASD: ceamara,arrossega esq.: selecciona   toca terra: mou   clic dret: neteja   WASD: càmera,左键拖动：选择   点击地面：移动   右键：取消   WASD：镜头,左鍵拖曳：選擇   點擊地面：移動   右鍵：取消   WASD：鏡頭,左ドラッグ：選択   地面タップ：移動   右クリック：解除   WASD：カメラ,좌드래그: 선택   바닥 탭: 이동   우클릭: 해제   WASD: 카메라,बायाँ-खींचें: चुनें   ज़मीन छूएँ: ले जाएँ   दायाँ-क्लिक: रद्द करें   WASD: कैमरा,ลากซ้าย: เลือก   แตะพื้น: เคลื่อนที่   คลิกขวา: ยกเลิก   WASD: กล้อง,kéo trái: chọn   chạm đất: di chuyển   chuột phải: bỏ chọn   WASD: máy quay,seret kiri: pilih   ketuk tanah: gerak   klik kanan: batal pilih   WASD: kamera,seret kiri: pilih   ketik tanah: gerak   klik kanan: nyahpilih   WASD: kamera,kaliwa-hila: pumili   pindutin lupa: galaw   kanang-klik: alisin   WASD: kamera,বাঁ-টান: নির্বাচন   মাটিতে চাপ: সরান   ডান-ক্লিক: বাতিল   WASD: ক্যামেরা,سحب يسار: تحديد   نقر الأرض: تحرك   نقر يمين: إلغاء التحديد   WASD: الكاميرا,גרירה שמאל: בחירה   הקשה על הקרקע: תנועה   קליק ימני: ביטול בחירה   WASD: מצלמה,کشیدن چپ: انتخاب   ضربه روی زمین: حرکت   کلیک راست: لغو انتخاب   WASD: دوربین
HarvShort,"Single letter suffix after harvester count, e.g. '3H'. One char.",H,H,S,H,S,V,R,C,C,C,C,R,Σ,K,K,S,Z,B,R,B,N,К,К,T,S,K,V,K,B,R,矿,礦,採,채,ह,ก,H,P,P,T,হ,ح,ק,ب
Units,"Label in top HUD before the unit count, e.g. 'Units: 5'.",Units,Enheter,Enheter,Enheder,Einheiten,Eenheden,Unités,Unidades,Unidades,Unidades,Unidades,Unità,Μονάδες,Yksiköt,Jednostki,Jednotky,Jednotky,Egységek,Unități,Jedinice,Enote,Единици,Юніти,Birimler,Einingar,Üksused,Vienības,Vienetai,Aonaid,Unitats,单位,單位,ユニット,유닛,इकाइयाँ,หน่วย,Quân,Unit,Unit,Yunit,ইউনিট,الوحدات,יחידות,نیروها
DevTitle,Dev panel title,Dev panel,Dev-panel,Dev-panel,Dev-panel,Dev-Panel,Dev-paneel,Panneau dev,Panel dev,Panel dev,Painel dev,Painel dev,Pannello dev,Πίνακας dev,Dev-paneeli,Panel dev,Dev panel,Dev panel,Dev panel,Panou dev,Dev panel,Dev plošča,Dev панел,Dev панель,Dev paneli,Þróunarspjald,Dev paneel,Dev panelis,Dev skydelis,Painéal dev,Tauler dev,开发面板,開發面板,開発パネル,개발 패널,डेव पैनल,แผงนักพัฒนา,Bảng nhà phát triển,Panel dev,Panel pembangun,Dev panel,ডেভ প্যানেল,لوحة المطور,פאנל מפתחים,پنل توسعه‌دهنده
DevClose,Button: close the dev panel,Close,Lukk,Stäng,Luk,Schließen,Sluiten,Fermer,Cerrar,Cerrar,Fechar,Fechar,Chiudi,Κλείσιμο,Sulje,Zamknij,Zavřít,Zavrieť,Bezárás,Închide,Zatvori,Zapri,Затвори,Закрити,Kapat,Loka,Sulge,Aizvērt,Uždaryti,Dún,Tanca,关闭,關閉,閉じる,닫기,बंद करें,ปิด,Đóng,Tutup,Tutup,Isara,বন্ধ,إغلاق,סגור,بستن
DevRestart,Button: restart the game,Restart,Start på nytt,Starta om,Genstart,Neustart,Herstart,Redémarrer,Reiniciar,Reiniciar,Reiniciar,Reiniciar,Riavvia,Επανεκκίνηση,Käynnistä uudelleen,Restart,Restart,Reštart,Újraindítás,Repornire,Ponovo pokreni,Ponovni zagon,Рестарт,Перезапуск,Yeniden başlat,Endurræsa,Taaskäivita,Restartēt,Paleisti iš naujo,Atosaigh,Reinicia,重新开始,重新開始,リスタート,다시 시작,पुनः आरंभ,เริ่มใหม่,Khởi động lại,Mulai ulang,Mula semula,I-restart,পুনরায় শুরু,إعادة التشغيل,הפעל מחדש,شروع دوباره
DevCenter,Button: center camera on base,Center,Sentrer,Centrera,Centrér,Zentrieren,Centreren,Centrer,Centrar,Centrar,Centrar,Centralizar,Centra,Κεντράρισμα,Keskitä,Wyśrodkuj,Vystředit,Vystrediť,Középre,Centrare,Centriraj,Centriraj,Центрирай,Центрувати,Ortala,Miðja,Keskele,Centrēt,Centruoti,Láraigh,Centra,居中,置中,中央へ,중앙 정렬,केंद्र,กึ่งกลาง,Căn giữa,Tengah,Tengah,Igitna,কেন্দ্র,توسيط,מרכז,وسط‌چین
DevGive,Button: give +5000 credits,+5000 cr,+5000 kr,+5000 kr,+5000 kr,+5000 Cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 πιστ.,+5000 cr,+5000 kr.,+5000 kr.,+5000 kr.,+5000 kr,+5000 cr,+5000 kr.,+5000 kr.,+5000 кр,+5000 кр,+5000 kr,+5000 kr,+5000 kr,+5000 kr,+5000 kr,+5000 cr,+5000 cr,+5000 资金,+5000 資金,+5000 クレジット,+5000 자금,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 cr,+5000 رصيد,+5000 קרדיט,+5000 اعتبار
